NAME_BOT,NAME_DE,FAMILY,NB_MIN_HEIGHT_CM,NB_MAX_HEIGHT_CM,NB_CONVIVIALITY,CAT_CONVIVIALITY,NB_MIN_PLANTS_IN_GROUP,NB_MAX_PLANTS_IN_GROUP,PLANTING_DISTANCE_CM,PLANTS_PER_M2,CAT_MIN_NEED_LIGHT,CAT_MAX_NEED_LIGHT,NB_MIN_NEED_LIGHT,NB_MAX_NEED_LIGHT,CAT_MIN_TIME_BLOSSOM,NB_MIN_TIME_BLOSSOM,CAT_MAX_TIME_BLOSSOM,NB_MAX_TIME_BLOSSOM,CAT_WINTERHARDY,NB_WINTERHARDY,NB_TOXIC,CAT_TOXIC,IS_FRAGRANT,IS_SUITABLE_CUT,IS_STERILE,IS_WINTERGREEN,IS_NATIVE,IS_FOR_INSECTS,IS_FOR_BEES,IS_FOR_BUMBLEBEES,IS_FOR_BUTTERFLIES,PRIMARY_COLOR_EN,PRIMARY_COLOR_DE,COLOR_LIST,AVG_HEIGHT_CM,AVG_NEED_LIGHT
Humulus lupulus 'Hallertauer Tradition',Hopfen,Cannabaceae,250,600,1,alone - very small group,1,3,100,1,mostly shady,very sunny,2,4,May,5,May,5,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,green,grün,grün,425,3
Rosa 'Maria Lisa',Rambler,Rosaceae,300,500,1,alone - very small group,1,3,60,2,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,pink,rosa,rot|rosa,400,3
Phragmites australis,"Schilf, Schilfrohr",Poaceae,150,400,5,large surfaces,50,100,45,4,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,green,grün,violett,275,4
Peucedanum verticillare,Riesen-Haarstrang,Apiaceae,120,350,1,alone - very small group,1,3,100,1,very sunny,very sunny,4,4,June,6,August,8,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,white,weiß,gelb,235,4
Bryonia dioica,Zweihäusige Zaunrübe,Cucurbitaceae,50,300,1,alone - very small group,1,3,60,2,mostly shady,very sunny,2,4,June,6,September,9,winterhardy given some support,1,2,highly toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,white,weiß,weiß,175,3
Angelica archangelica 'Solveig' ,Echte Engelwurz,Apiaceae,150,250,1,alone - very small group,1,3,150,1,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,1,toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,white,weiß,grün|weiß,200,4
Helianthus salicifolius,Weidenblättrige Sonnenblume,Asteraceae,200,250,1,alone - very small group,1,3,120,1,very sunny,very sunny,4,4,October,10,November,11,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,gelb,gelb,225,4
Silphium perfoliatum,"Becherpflanze, Harzkraut",Asteraceae,200,250,1,alone - very small group,1,3,120,1,very sunny,very sunny,4,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,yellow,gelb,gelb,225,4
Alcea rugosa,Ausdauernde Stockrose,Malvaceae,180,220,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pink,rosa,gelb,200,4
Molinia arundinacea 'Skyracer',Hohes Pfeifengras,Poaceae,60,220,1,alone - very small group,1,3,120,1,mostly shady,very sunny,2,4,August,8,October,10,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,green,grün,braun,140,3
